id;is_primary;serial;issue_date;expiry_date;file_path;document_type_id
1;false;ew;2024-06-30;2024-07-01;cone svelte;1
2;true;qua milky aside;2024-06-30;2024-06-30;um anenst blah;2
3;false;plaintive impeccable;2024-06-30;2024-07-01;ack failing;3
4;false;excellent;2024-06-30;2024-06-30;fully wide;4
5;true;smoothly hassock firsthand;2024-07-01;2024-07-01;furthermore productive interestingly;5
6;true;under gun yet;2024-07-01;2024-06-30;sunny since loosely;6
7;false;euphoric whereas;2024-07-01;2024-06-30;youthfully;7
8;false;if lively;2024-07-01;2024-07-01;resign;8
9;false;immaterial examine;2024-07-01;2024-07-01;thunderous;9
10;false;after languish famously;2024-07-01;2024-06-30;detail greens yum;10
