id;name;short_name;dob;email;is_black_listed;father_name;mother_name;log_status
1;lodge;bravely glamorous while;2024-07-01;Vince.Lindgren@gmail.com;true;thongs woot discourse;finally coarse;DRAFT
2;boss freely;personal above;2024-07-01;Laury.Schneider@gmail.com;true;calmly who um;stereo;APPROVED
3;firm workshop;crossly;2024-07-01;Alyson50@gmail.com;true;overjoyed like;gadzooks secret;REJECTED
4;while;overburden;2024-07-01;King.Lesch26@hotmail.com;false;ick vastly;trickle flood duck;DRAFT
5;round;searchingly brr;2024-06-30;Lexi_Zboncak15@gmail.com;true;greedily however meanwhile;bill descend ack;REJECTED
6;underclothes;gene separately;2024-07-01;Hermann2@gmail.com;false;meddle but;antennae vouch ugh;DRAFT
7;furthermore aboard ringed;famously gah;2024-06-30;Monserrate.Bashirian@hotmail.com;false;idealistic;anime;REJECTED
8;aha lopsided;toothpaste equally now;2024-07-01;Jaycee_Walsh@hotmail.com;true;next easily restfully;inasmuch;DRAFT
9;yum privilege since;sermonize twin brr;2024-07-01;Meaghan6@yahoo.com;true;lucky web blah;huzzah after instead;DRAFT
10;where awesome shop;excuse notation;2024-07-01;Javonte6@hotmail.com;true;clam aha;regularly;APPROVED
